MSA,UnemployentRate
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",3.7
"Midland, MI Metropolitan Statistical Area",3.7
"Mobile, AL Metropolitan Statistical Area",3.7
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",3.7
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",3.7
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",3.7
"Barnstable Town, MA Metropolitan NECTA",3.8
"El Paso, TX Metropolitan Statistical Area",3.8
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",3.8
"Hinesville, GA Metropolitan Statistical Area",3.8
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",3.8
"Killeen-Temple, TX Metropolitan Statistical Area",3.8
"Monroe, MI Metropolitan Statistical Area",3.8
"Morristown, TN Metropolitan Statistical Area",3.8
"Muncie, IN Metropolitan Statistical Area",3.8
"Owensboro, KY Metropolitan Statistical Area",3.8
"Springfield, MA-CT Metropolitan NECTA",3.8
"Vallejo-Fairfield, CA Metropolitan Statistical Area",3.8
"Bend-Redmond, OR Metropolitan Statistical Area",3.9
"Bowling Green, KY Metropolitan Statistical Area",3.9
"Carbondale-Marion, IL Metropolitan Statistical Area",3.9
"Carson City, NV Metropolitan Statistical Area",3.9
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",3.9
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",3.9
"Kokomo, IN Metropolitan Statistical Area",3.9
"Lake Charles, LA Metropolitan Statistical Area",3.9
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",3.9
"Macon-Bibb County, GA Metropolitan Statistical Area",3.9
"Morgantown, WV Metropolitan Statistical Area",3.9
"New Bern, NC Metropolitan Statistical Area",3.9
"Niles-Benton Harbor, MI Metropolitan Statistical Area",3.9
"Panama City, FL Metropolitan Statistical Area",3.9
"Pittsfield, MA Metropolitan NECTA",3.9
"Port St. Lucie, FL Metropolitan Statistical Area",3.9
"Pueblo, CO Metropolitan Statistical Area",3.9
"Punta Gorda, FL Metropolitan Statistical Area",3.9
"Salem, OR Metropolitan Statistical Area",3.9
"Springfield, IL Metropolitan Statistical Area",3.9
"York-Hanover, PA Metropolitan Statistical Area",3.9
"Battle Creek, MI Metropolitan Statistical Area",4
"Casper, WY Metropolitan Statistical Area",4
"Duluth, MN-WI Metropolitan Statistical Area",4
"Elmira, NY Metropolitan Statistical Area",4
"Eugene, OR Metropolitan Statistical Area",4
"Goldsboro, NC Metropolitan Statistical Area",4
"Greensboro-High Point, NC Metropolitan Statistical Area",4
"Lebanon, PA Metropolitan Statistical Area",4
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",4
"Ocala, FL Metropolitan Statistical Area",4
"Racine, WI Metropolitan Statistical Area",4
"Rochester, NY Metropolitan Statistical Area",4
"Rome, GA Metropolitan Statistical Area",4
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",4
"Cleveland-Elyria, OH Metropolitan Statistical Area",4.1
"Columbus, GA-AL Metropolitan Statistical Area",4.1
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",4.1
"Dayton, OH Metropolitan Statistical Area",4.1
"Dover, DE Metropolitan Statistical Area",4.1
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",4.1
"Greenville, NC Metropolitan Statistical Area",4.1
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",4.1
"Lima, OH Metropolitan Statistical Area",4.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",4.1
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",4.1
"Syracuse, NY Metropolitan Statistical Area",4.1
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",4.2
"Clarksville, TN-KY Metropolitan Statistical Area",4.2
"Glens Falls, NY Metropolitan Statistical Area",4.2
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",4.2
"Memphis, TN-MS-AR Metropolitan Statistical Area",4.2
"Michigan City-La Porte, IN Metropolitan Statistical Area",4.2
"Muskegon, MI Metropolitan Statistical Area",4.2
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.2
"Santa Fe, NM Metropolitan Statistical Area",4.2
"Utica-Rome, NY Metropolitan Statistical Area",4.2
"Akron, OH Metropolitan Statistical Area",4.3
"Albany, GA Metropolitan Statistical Area",4.3
"Albany, OR Metropolitan Statistical Area",4.3
"Baton Rouge, LA Metropolitan Statistical Area",4.3
"Corpus Christi, TX Metropolitan Statistical Area",4.3
"Medford, OR Metropolitan Statistical Area",4.3
"New Orleans-Metairie, LA Metropolitan Statistical Area",4.3
"Springfield, OH Metropolitan Statistical Area",4.3
"Terre Haute, IN Metropolitan Statistical Area",4.3
"Texarkana, TX-AR Metropolitan Statistical Area",4.3
"Binghamton, NY Metropolitan Statistical Area",4.4
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",4.4
"Houma-Thibodaux, LA Metropolitan Statistical Area",4.4
"Pittsburgh, PA Metropolitan Statistical Area",4.4
"Reading, PA Metropolitan Statistical Area",4.4
"Toledo, OH Metropolitan Statistical Area",4.4
"Waterbury, CT Metropolitan NECTA",4.4
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",4.5
"Bay City, MI Metropolitan Statistical Area",4.5
"Bremerton-Silverdale, WA Metropolitan Statistical Area",4.5
"Jacksonville, NC Metropolitan Statistical Area",4.5
"Peoria, IL Metropolitan Statistical Area",4.5
"Salisbury, MD-DE Metropolitan Statistical Area",4.5
"Tucson, AZ Metropolitan Statistical Area",4.5
"Altoona, PA Metropolitan Statistical Area",4.6
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",4.6
"Canton-Massillon, OH Metropolitan Statistical Area",4.6
"Lafayette, LA Metropolitan Statistical Area",4.6
"Mansfield, OH Metropolitan Statistical Area",4.6
"New Bedford, MA Metropolitan NECTA",4.6
"Prescott, AZ Metropolitan Statistical Area",4.6
"Albuquerque, NM Metropolitan Statistical Area",4.7
"Dalton, GA Metropolitan Statistical Area",4.7
"Erie, PA Metropolitan Statistical Area",4.7
"Fairbanks, AK Metropolitan Statistical Area",4.7
"Saginaw, MI Metropolitan Statistical Area",4.7
"Anchorage, AK Metropolitan Statistical Area",4.8
"Charleston, WV Metropolitan Statistical Area",4.8
"Kankakee, IL Metropolitan Statistical Area",4.8
"Olympia-Tumwater, WA Metropolitan Statistical Area",4.8
"Redding, CA Metropolitan Statistical Area",4.8
"Sebring, FL Metropolitan Statistical Area",4.8
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",4.9
"Danville, IL Metropolitan Statistical Area",4.9
"Fayetteville, NC Metropolitan Statistical Area",4.9
"Flint, MI Metropolitan Statistical Area",4.9
"Grants Pass, OR Metropolitan Statistical Area",4.9
"Jackson, MS Metropolitan Statistical Area",4.9
"Shreveport-Bossier City, LA Metropolitan Statistical Area",4.9
"The Villages, FL Metropolitan Statistical Area",4.9
"Walla Walla, WA Metropolitan Statistical Area",4.9
"Williamsport, PA Metropolitan Statistical Area",4.9
"Alexandria, LA Metropolitan Statistical Area",5
"Beckley, WV Metropolitan Statistical Area",5
"Bellingham, WA Metropolitan Statistical Area",5
"Decatur, IL Metropolitan Statistical Area",5
"Hattiesburg, MS Metropolitan Statistical Area",5
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",5
"Rocky Mount, NC Metropolitan Statistical Area",5
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",5
"Homosassa Springs, FL Metropolitan Statistical Area",5.1
"Wenatchee, WA Metropolitan Statistical Area",5.1
"Chico, CA Metropolitan Statistical Area",5.2
"Monroe, LA Metropolitan Statistical Area",5.2
"Pine Bluff, AR Metropolitan Statistical Area",5.2
"Cumberland, MD-WV Metropolitan Statistical Area",5.3
"Hammond, LA Metropolitan Statistical Area",5.3
"Parkersburg-Vienna, WV Metropolitan Statistical Area",5.3
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",5.3
"Watertown-Fort Drum, NY Metropolitan Statistical Area",5.3
"Johnstown, PA Metropolitan Statistical Area",5.4
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",5.4
"Rockford, IL Metropolitan Statistical Area",5.4
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",5.4
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",5.4
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",5.5
"Brownsville-Harlingen, TX Metropolitan Statistical Area",5.5
"East Stroudsburg, PA Metropolitan Statistical Area",5.5
"Wheeling, WV-OH Metropolitan Statistical Area",5.5
"Kennewick-Richland, WA Metropolitan Statistical Area",5.6
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",5.6
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",5.7
"Flagstaff, AZ Metropolitan Statistical Area",5.8
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",5.8
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",5.8
"Farmington, NM Metropolitan Statistical Area",5.9
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",5.9
"Las Cruces, NM Metropolitan Statistical Area",5.9
"Longview, WA Metropolitan Statistical Area",5.9
"Stockton-Lodi, CA Metropolitan Statistical Area",6
"Modesto, CA Metropolitan Statistical Area",6.2
