GeoFips,GeoName,LineCode,Description,2019
22420,"Flint, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41929
22500,"Florence, SC (Metropolitan Statistical Area)",2,Population (persons) 1/,204911
22500,"Florence, SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,42439
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,147970
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39102
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",2,Population (persons) 1/,103403
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,49949
22660,"Fort Collins, CO (Metropolitan Statistical Area)",2,Population (persons) 1/,356899
22660,"Fort Collins, CO (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,55884
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",2,Population (persons) 1/,250368
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38382
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",2,Population (persons) 1/,413263
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47516
23420,"Fresno, CA (Metropolitan Statistical Area)",2,Population (persons) 1/,999101
23420,"Fresno, CA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45487
23460,"Gadsden, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,102268
23460,"Gadsden, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38326
23540,"Gainesville, FL (Metropolitan Statistical Area)",2,Population (persons) 1/,329128
23540,"Gainesville, FL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44880
23580,"Gainesville, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,204441
23580,"Gainesville, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45576
23900,"Gettysburg, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,103009
23900,"Gettysburg, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,50182
24020,"Glens Falls, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,125148
24020,"Glens Falls, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48823
24140,"Goldsboro, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,123131
24140,"Goldsboro, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39894
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",2,Population (persons) 1/,100815
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,51950
24260,"Grand Island, NE (Metropolitan Statistical Area)",2,Population (persons) 1/,75553
24260,"Grand Island, NE (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45487
24300,"Grand Junction, CO (Metropolitan Statistical Area)",2,Population (persons) 1/,154210
