opportunity_id,Entity_ID,Est_Revenue,Annual_Revenue,days_active,PFY_RSM_Services_Spend,CFY_RSM_Services_Spend,No_of_Employees,Probability,Lead_Source,Private_Equity,Open_Revenue,Type,industry_sector,revenue_size,Microsoft_Enterprise_Agreement,Won
8538c7e0-b2e1-e611-8111-005056ad09ed,7786973,5000,50031237,0.000868056,0,0,200,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
8f057fd9-7466-e711-8116-005056ad09ed,7730876,2634702,3531735,0.000949074,76540.15,62426.42,45,20%,Referral - Other,No,0,Existing Relationship - New Business,Retail & Restaurants,high,No,1
20462169-9606-e811-812b-005056ad4f9d,7730876,30000,3531735,628.2962037,76540.15,62426.42,45,20%,Director,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,0
146b6e35-4cb3-e711-811b-005056ad6943,7730876,77537,3531735,9.135497685,76540.15,62426.42,45,80%,Director,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
3cef217e-4329-e811-812d-005056ad4f9d,7730876,11660,3531735,25.16274306,76540.15,62426.42,45,20%,Director,No,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
6002fe5f-2e9b-e711-8118-005056ad09ed,7730876,0,3531735,5.276608796,76540.15,62426.42,45,20%,Referral - Other,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
312c839c-2e9b-e711-8118-005056ad09ed,7730876,165149,3531735,41.03743056,76540.15,62426.42,45,20%,Referral - Other,No,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
1b909189-9606-e811-812b-005056ad4f9d,7730876,158239.41,3531735,48.37665509,76540.15,62426.42,45,80%,Director,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
03ff3206-2e9b-e711-8118-005056ad09ed,7787056,117803,133100000,92.60986111,62110.64,51052.78,350,20%,Inactive - Junction Solutions,No,3400000,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
69590150-2f9b-e711-8118-005056ad09ed,7787025,750000,26855586,365.6128009,71687.88,1012.89,102,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,high,No,0
b2a2390c-2e9b-e711-8118-005056ad09ed,7787025,25000,26855586,930.6552662,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,0
adb12c18-2e9b-e711-8118-005056ad09ed,7730876,0,3531735,12.41541667,76540.15,62426.42,45,20%,Referral - Other,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
1802fe5f-2e9b-e711-8118-005056ad09ed,7787025,9300,26855586,10.56509259,71687.88,1012.89,102,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
ab7f5f30-3f5c-e711-8116-005056ad09ed,7787028,16511.66,23609400,0.000856481,385,0,238,20%,Inactive - Junction Solutions,No,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
623976a8-2e9b-e711-8118-005056ad09ed,7787042,64800,301576944,100.4591088,0,0,1300,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,0
8436400e-2f9b-e711-8118-005056ad09ed,7787025,60597,26855586,26.62921296,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
00522626-2f9b-e711-8118-005056ad09ed,7787025,2880,26855586,0.583668981,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
7075e767-2f9b-e711-8118-005056ad09ed,7787028,13340,23609400,113.5888542,385,0,238,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
2477d079-2f9b-e711-8118-005056ad09ed,7787056,211610,133100000,63.7553125,62110.64,51052.78,350,20%,Inside Sales,No,3400000,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
c2a5b2a3-2f9b-e711-8118-005056ad09ed,7787028,15000,23609400,0.580347222,385,0,238,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
89fbaaa9-2f9b-e711-8118-005056ad09ed,7786984,20000,66697954,284.7136111,0,0,120,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
96d926a3-bfd9-eb11-a9d4-005056b5913b,7787047,57000,5572667,89.91087963,6963.75,1000,1,40%,BD Activity,Yes,0,Existing Relationship - New Business,Retail & Restaurants,med,_missing_,0
2a12f0b6-cfb8-eb11-a9d8-005056b506e9,7787047,1651200,5572667,131.826794,6963.75,1000,1,80%,BD Activity,Yes,0,Existing Relationship - New Business,Retail & Restaurants,high,_missing_,0
2f6f8321-4b26-e811-8122-005056ad09ed,7787047,1500000,5572667,920.7306597,6963.75,1000,1,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - New Business,Retail & Restaurants,high,_missing_,0
e507a69e-51d4-e611-811b-005056ad4f9d,7786984,33235.07,66697954,0.000717593,0,0,120,20%,Inactive - Junction Solutions,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
48f53b08-2f9b-e711-8118-005056ad09ed,7786973,500000,50031237,1376.713785,0,0,200,20%,Marketing Campaign - National,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,high,No,0
bda2390c-2e9b-e711-8118-005056ad09ed,7786985,30000,102870836,30.58008102,62636.52,29210.07,350,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
ea5a4a73-a9a0-e811-8127-005056ad09ed,7786985,1133840,102870836,64.09747685,62636.52,29210.07,350,20%,Inactive - Junction Solutions,No,0,Existing Relationship - New Business,Retail & Restaurants,high,No,1
e44ca1e1-1312-e611-8107-005056ad1ac5,7786985,1000000,102870836,250.1038889,62636.52,29210.07,350,_missing_,Inactive - Junction Solutions,No,0,Existing Relationship - New Business,Retail & Restaurants,high,No,0
4a4da1e1-1312-e611-8107-005056ad1ac5,7786985,5000,102870836,57.41416667,62636.52,29210.07,350,_missing_,Inactive - Junction Solutions,No,0,Existing Relationship - New Business,Retail & Restaurants,low,No,1
94e10cdb-8921-e911-813d-005056ad4f9d,7786985,31680,102870836,5.227037037,62636.52,29210.07,350,60%,Manager,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
c033d65a-c345-e911-a9a6-005056b5913b,7786985,31680,102870836,69.07077546,62636.52,29210.07,350,20%,Manager,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,0
23a24b22-c65b-e911-a9a7-005056b57426,7786985,121000,102870836,8.795115741,62636.52,29210.07,350,20%,Manager,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
50d7058a-ae62-e911-a9ab-005056b506e9,7786985,26400,102870836,0.163622685,62636.52,29210.07,350,20%,Partner,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
f0e5968f-9a17-ea11-a9b8-005056b57426,7786985,38360,102870836,36.10065972,62636.52,29210.07,350,100%,Partner,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
c4e0fb87-6cad-e911-a9b6-005056b57426,7786985,106000,102870836,224.1209028,62636.52,29210.07,350,60%,Manager,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
121e58d5-e13e-ea11-a9ba-005056b5913b,7786985,204120,102870836,39.05288194,62636.52,29210.07,350,20%,Partner,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
da36aa3c-c73e-e911-a9a9-005056b506e9,7692131,1824848,24803809,132.6745602,0,0,85,20%,Inactive - Junction Solutions,No,10000,New Relationship - New Business,Nonprofit,high,_missing_,0
6e6e93fb-352a-e911-812e-005056ad09ed,5052645,2700000,44756059,105.9234954,0,0,325,20%,Referral - Microsoft,No,10000,Existing Relationship - New Business,Nonprofit,high,_missing_,0
0f8606e1-2c9b-e711-8118-005056ad09ed,7787038,20000,1618693000,49.4231713,0,0,626,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Bio/Pharma,low,No,1
8c21cf1c-2d9b-e711-8118-005056ad09ed,7787038,22422,1618693000,119.5805093,0,0,626,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Bio/Pharma,low,No,1
689e221c-4cab-e611-8113-005056ad1ac5,7809575,376000,74461000,20.58391204,226814.43,116511.61,136,100%,BD Activity,No,0,New Relationship - New Business,Bio/Pharma,med,No,1
61789e5e-2d9b-e711-8118-005056ad09ed,7787038,178586.3,1618693000,48.66515046,0,0,626,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Bio/Pharma,med,No,0
4238632c-d001-eb11-a9c7-005056b57426,7903308,750000,1182000,14.81800926,171793.28,34611.14,23,20%,Referral - Microsoft,No,10000,New Relationship - New Business,Bio/Pharma,high,_missing_,0
7a3f5dd6-2d9b-e711-8118-005056ad09ed,7787038,4200,1618693000,41.45820602,0,0,626,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Bio/Pharma,low,No,0
ea9355dc-2d9b-e711-8118-005056ad09ed,7787024,685000,173768000,14.37709491,0,0,298,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Bio/Pharma,high,Yes,1
19406c76-bbbd-e711-8126-005056ad4f9d,7787038,42673.28,1618693000,0.002291667,0,0,626,20%,Inactive - Junction Solutions,No,0,Existing Relationship - New Business,Bio/Pharma,med,No,1
f75873ae-2e9b-e711-8118-005056ad09ed,7787048,1618.17,29385000,65.50753472,0,0,10,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Bio/Pharma,low,No,1
326c5979-9d0a-ec11-a9e6-a53255af747d,8153918,78408,206000,79.8008912,36376.5,540078.3,48,20%,RFP,No,1484680,New Relationship - New Business,Bio/Pharma,med,_missing_,1
578e73ab-80ba-eb11-a9cf-005056b57426,8153918,362440,206000,158.6770255,36376.5,540078.3,48,20%,RFP,No,1484680,Existing Relationship - New Business,Bio/Pharma,med,_missing_,1
28d760ac-2d9b-e711-8118-005056ad09ed,7758186,700000,312690000,128.6663194,386875.3,349419.28,498,20%,Referral - Other,No,1300000,Existing Relationship - Renewal,Bio/Pharma,high,No,0
316c0292-adca-e711-811c-005056ad09ed,7730823,700000,4092125,778.2146296,232324.14,210412.38,4,80%,Partner,Yes,0,New Relationship - New Business,Bio/Pharma,high,_missing_,0
f91c7b29-7abe-e711-8126-005056ad4f9d,7730823,1,4092125,163.0838773,232324.14,210412.38,4,20%,Partner,Yes,0,New Relationship - New Business,Bio/Pharma,low,_missing_,0
